,date,agency,state,document_type,title,report_link,eis_number,federal_register_date,contact_name,comment_due_review_date,contact_phone,amended_notice_date,amended_notice,supplemental_info,website,comment_letter_date,rating,num_files,list_of_links
10,09/28/2007,USFS,ID,Draft EIS,"Cherry Dinner Project, Management of Vegetation, Hazardous Fuels, and Access Plus Watershed Improvements, Amendment to the Forest Plan, Palouse Ranger District, Clearwater National Forest, Latah County, ID",http://yosemite.epa.gov/oeca/webeis.nsf/EIS01/BFEFF65FB5194B5A85257BEB001BB076,20070396,09/28/2007,Kara Chadwick,11/13/2007,208-875-1131,,, ,,11/13/2007,EC2,3.0,http://yosemite.epa.gov/oeca/webeis.nsf/%28PDFView%29/20070396/%24file/20070396.PDF http://yosemite.epa.gov/oeca/webeis.nsf/http%3A//www.epa.gov/epahome/pdf.html http://yosemite.epa.gov/oeca/webeis.nsf/http%3A//www.epa.gov/compliance/contact/nepa.html%23commentform
11,09/28/2007,USFS,WA,Final EIS,"Tripod Fire Salvage Project, Proposal to Salvage Harvest Dead Trees and Fire-Injured Trees Expected to Die Within One Year, Methow Valley and Tonasket Ranger Districts, Okanogan and Wenatchee National Forests, Okanogan County, WA",http://yosemite.epa.gov/oeca/webeis.nsf/EIS01/CB46617D1C3C348485257BEB001BB07B,20070397,09/28/2007,Robert Stoehr,10/29/2007,509-548-6977,,, ,,10/29/2007,,3.0,http://yosemite.epa.gov/oeca/webeis.nsf/%28PDFView%29/20070397/%24file/20070397.PDF http://yosemite.epa.gov/oeca/webeis.nsf/http%3A//www.epa.gov/epahome/pdf.html http://yosemite.epa.gov/oeca/webeis.nsf/http%3A//www.epa.gov/compliance/contact/nepa.html%23commentform
12,09/21/2007,USFS,ID,Draft Supplement,"Meadow Face Stewardship Pilot Project, Improvement to Aquatic and Terrestrial Vegetative Conditions, Supplement Informtion on the Cumulative Effects Analysis,  Nez Perce National Forest, Clearwater Ranger District, Idaho County, ID",http://yosemite.epa.gov/oeca/webeis.nsf/EIS01/17E0C07313CC800085257BEB001BB05D,20070390,09/21/2007,Darcy Pederson,11/05/2007,208-983-1950,,, ,,10/24/2007,LO,3.0,http://yosemite.epa.gov/oeca/webeis.nsf/%28PDFView%29/20070390/%24file/20070390.PDF http://yosemite.epa.gov/oeca/webeis.nsf/http%3A//www.epa.gov/epahome/pdf.html http://yosemite.epa.gov/oeca/webeis.nsf/http%3A//www.epa.gov/compliance/contact/nepa.html%23commentform
13,09/21/2007,USFS,MT,Draft EIS,"Bozeman Municipal Watershed Project, To Implement Fuel Reduction Activities, Bozeman Ranger District, Gallatin National Forest, City of Bozeman Municipal Watershed, Gallatin County, MT",http://yosemite.epa.gov/oeca/webeis.nsf/EIS01/5376A8378FBE5B0485257BEB001BB068,20070392,09/21/2007,Jim Devitt,11/05/2007,406-587-6749,,, ,,11/01/2007,EC2,3.0,http://yosemite.epa.gov/oeca/webeis.nsf/%28PDFView%29/20070392/%24file/20070392.PDF http://yosemite.epa.gov/oeca/webeis.nsf/http%3A//www.epa.gov/epahome/pdf.html http://yosemite.epa.gov/oeca/webeis.nsf/http%3A//www.epa.gov/compliance/contact/nepa.html%23commentform
14,09/21/2007,USFS,MT,Draft Supplement,"Fishtrap Project, Updated Information on Past Maintence/Restorative Treatments within Old Growth Stands, 200Timber Harvest, Prescribed Burning, Road Construction and Other Restoration Activities, Lolo National Forest, Plains/Thompson Falls Ranger District, Sanders County, MT",http://yosemite.epa.gov/oeca/webeis.nsf/EIS01/E805FCC3A7CE9B1F85257BEB001BB06B,20070393,09/21/2007,Pat Partyka,11/05/2007,406-826-4314,,, ,,10/11/2007,LO,3.0,http://yosemite.epa.gov/oeca/webeis.nsf/%28PDFView%29/20070393/%24file/20070393.PDF http://yosemite.epa.gov/oeca/webeis.nsf/http%3A//www.epa.gov/epahome/pdf.html http://yosemite.epa.gov/oeca/webeis.nsf/http%3A//www.epa.gov/compliance/contact/nepa.html%23commentform
15,09/14/2007,USFS,SD,Final EIS,"Citadel Project Area, Proposes to Implement Multiple Resource Management Actions, Northern Hills Ranger District, Black Hills National Forest, Lawrence County, SD",http://yosemite.epa.gov/oeca/webeis.nsf/EIS01/0A479E704ED075FA85257BEB001BB03C,20070382,09/14/2007,Chris Stores,10/15/2007,605-642-4622,,, ,,10/16/2007,,3.0,http://yosemite.epa.gov/oeca/webeis.nsf/%28PDFView%29/20070382/%24file/20070382.PDF http://yosemite.epa.gov/oeca/webeis.nsf/http%3A//www.epa.gov/epahome/pdf.html http://yosemite.epa.gov/oeca/webeis.nsf/http%3A//www.epa.gov/compliance/contact/nepa.html%23commentform
16,09/14/2007,USFS,AK,Final EIS,"Baht Timber Sale Project, Proposes to Harvest Timber and Temporary Road Construction on Zarembo Island, Wrangell Ranger District, Tongass National Forest, AK",http://yosemite.epa.gov/oeca/webeis.nsf/EIS01/3E14E73040138E1785257BEB001BB030,20070379,09/14/2007,Frank Roberts,10/15/2007,907-874-7556,,, ,,10/15/2007,,3.0,http://yosemite.epa.gov/oeca/webeis.nsf/%28PDFView%29/20070379/%24file/20070379.PDF http://yosemite.epa.gov/oeca/webeis.nsf/http%3A//www.epa.gov/epahome/pdf.html http://yosemite.epa.gov/oeca/webeis.nsf/http%3A//www.epa.gov/compliance/contact/nepa.html%23commentform
17,09/14/2007,USFS,NV,Final EIS,"White Pine & Grant-Quinn Oil and Gas Leasing Project, Exploration and Development, Humboldt-Toiyabe National Forest, Ely Ranger District, White Pine, Nye and Lincoln Counties, NV",http://yosemite.epa.gov/oeca/webeis.nsf/EIS01/7E58213D319BF0A785257BEB001BB035,20070380,09/14/2007,Pat Irwin,10/15/2007,775-289-3031,,, ,,09/27/2007,,3.0,http://yosemite.epa.gov/oeca/webeis.nsf/%28PDFView%29/20070380/%24file/20070380.PDF http://yosemite.epa.gov/oeca/webeis.nsf/http%3A//www.epa.gov/epahome/pdf.html http://yosemite.epa.gov/oeca/webeis.nsf/http%3A//www.epa.gov/compliance/contact/nepa.html%23commentform
18,09/14/2007,USFS,CA,Final EIS,"Little Doe and Low Gulch Timber Sale Project, Proposes to Harvest Commercial Timber, Six Rivers National Forest, Mad River Ranger District, Trinity County, CA",http://yosemite.epa.gov/oeca/webeis.nsf/EIS01/909E4F119939353885257BEB001BB04A,20070387,09/14/2007,Ruben Escatell,10/15/2007,707-574-6233,,, ,,09/27/2007,,3.0,http://yosemite.epa.gov/oeca/webeis.nsf/%28PDFView%29/20070387/%24file/20070387.PDF http://yosemite.epa.gov/oeca/webeis.nsf/http%3A//www.epa.gov/epahome/pdf.html http://yosemite.epa.gov/oeca/webeis.nsf/http%3A//www.epa.gov/compliance/contact/nepa.html%23commentform
19,09/14/2007,USFS,AK,Final EIS,"Kenai Winter Access Project, Develop a Winter Access Management Plan for 2006/2007 Winter Season, Implementation, Seward Ranger District, Chugach National Forest, Located on the Kenai Peninsula in Southcentral, AK",http://yosemite.epa.gov/oeca/webeis.nsf/EIS01/DDD848E52EEF279C85257BEB001BB039,20070381,09/14/2007,Sharon Randell,10/15/2007,907-743-9497,,, ,,10/15/2007,,3.0,http://yosemite.epa.gov/oeca/webeis.nsf/%28PDFView%29/20070381/%24file/20070381.PDF http://yosemite.epa.gov/oeca/webeis.nsf/http%3A//www.epa.gov/epahome/pdf.html http://yosemite.epa.gov/oeca/webeis.nsf/http%3A//www.epa.gov/compliance/contact/nepa.html%23commentform
20,09/07/2007,USACE,TN,Draft EIS,"Center Hill Dam and Lake Project, Changes to Operational Guide Curves Pool Elevations, Chancey Fork River and Cumberland River, Dekalb County, TN",http://yosemite.epa.gov/oeca/webeis.nsf/EIS01/6CAC6E9B40F6A15685257BEB001BB023,20070377,09/07/2007,Joy Broach,10/23/2007,615-736-7956,,, ,,10/23/2007,EC2,0.0,
21,09/07/2007,USFS,AK,Final EIS,"Kuiu Timber Sale Area, Proposes to Harvest Timber and Build Associated Temporary Roads, US. Army COE Section 10 and 404 Permits, North Kuiu Island, Petersburg Ranger District, Tongass National Forest, AK",http://yosemite.epa.gov/oeca/webeis.nsf/EIS01/87D0DEDE4B043AB885257BEB001BB017,20070375,09/07/2007,Tiffany Benna,10/09/2007,907-772-3871,,, ,,09/24/2007,,3.0,http://yosemite.epa.gov/oeca/webeis.nsf/%28PDFView%29/20070375/%24file/20070375.PDF http://yosemite.epa.gov/oeca/webeis.nsf/http%3A//www.epa.gov/epahome/pdf.html http://yosemite.epa.gov/oeca/webeis.nsf/http%3A//www.epa.gov/compliance/contact/nepa.html%23commentform
22,09/07/2007,USFWS,PR,Final EIS,"Vieques National Wildlife Refuge Comprehensive Conservation Plan, Implementation, Vieques, PR",http://yosemite.epa.gov/oeca/webeis.nsf/EIS01/E0B0EAED1926D50985257BEB001BB014,20070374,09/07/2007,Jim Oland,10/09/2007,410-573-4592,,, ,,10/09/2007,,0.0,
23,09/07/2007,VA,CA,Final EIS,"Fort Rosecrans National Cemetery Annex,  Construction and Operation, Located at Marine Corps Air Station (MCAS) Miramar, Point Loma, San Diego County, CA",http://yosemite.epa.gov/oeca/webeis.nsf/EIS01/43F4B11EA95512A885257BEB001BB02D,20070378,09/07/2007,Hiphill Clemente,10/09/2007,619-532-3781,,, ,,09/27/2007,,3.0,http://yosemite.epa.gov/oeca/webeis.nsf/%28PDFView%29/20070378/%24file/20070378.PDF http://yosemite.epa.gov/oeca/webeis.nsf/http%3A//www.epa.gov/epahome/pdf.html http://yosemite.epa.gov/oeca/webeis.nsf/http%3A//www.epa.gov/compliance/contact/nepa.html%23commentform
24,08/31/2007,USFS,Multi,Draft EIS,"National Forest System Land Management Planning, Implementation,  Proposed Land Management Planning Rule at 36 CFR Part 219 to Finish Rulemaking,",http://yosemite.epa.gov/oeca/webeis.nsf/EIS01/B221E92FD931383685257BEB001BAFF1,20070367,08/31/2007,Dave Sire,10/22/2007,202-205-1006,,, ,,10/22/2007,EC2,3.0,http://yosemite.epa.gov/oeca/webeis.nsf/%28PDFView%29/20070367/%24file/20070367.PDF http://yosemite.epa.gov/oeca/webeis.nsf/http%3A//www.epa.gov/epahome/pdf.html http://yosemite.epa.gov/oeca/webeis.nsf/http%3A//www.epa.gov/compliance/contact/nepa.html%23commentform
25,08/31/2007,USFS,Multi,Draft EIS,"Sage Steppe Ecosystem Restoration Strategy, Implementation, Modoc National Forest, Modoc, Lassen, Shasta Counties, CA and Washoe County, NV",http://yosemite.epa.gov/oeca/webeis.nsf/EIS01/F60D59A43E77B31285257BEB001BB00A,20070370,08/31/2007,Rob Jeffus,10/15/2007,530-233-8816,,, ,,10/15/2007,EC2,3.0,http://yosemite.epa.gov/oeca/webeis.nsf/%28PDFView%29/20070370/%24file/20070370.PDF http://yosemite.epa.gov/oeca/webeis.nsf/http%3A//www.epa.gov/epahome/pdf.html http://yosemite.epa.gov/oeca/webeis.nsf/http%3A//www.epa.gov/compliance/contact/nepa.html%23commentform
26,08/24/2007,USACE,CA,Draft EIS,"Carryover Storage and San Vicente Dam Raise Project, Providing Additional Storage Capacity for 100,000 area feet of Water by the Year 2011, Issuance of Permits, Section 10 and 404 Permits, San Diego County, CA",http://yosemite.epa.gov/oeca/webeis.nsf/EIS01/BA244F46542BA7EE85257BEB001BAFC6,20070363,08/24/2007,Robert R. Smith,10/09/2007,858-674-6784,,, ,,10/09/2007,EC2,3.0,http://yosemite.epa.gov/oeca/webeis.nsf/%28PDFView%29/20070363/%24file/20070363.PDF http://yosemite.epa.gov/oeca/webeis.nsf/http%3A//www.epa.gov/epahome/pdf.html http://yosemite.epa.gov/oeca/webeis.nsf/http%3A//www.epa.gov/compliance/contact/nepa.html%23commentform
27,08/24/2007,USACE,FL,Draft Supplement,"Rock Mining in the Lake Belt Region Plan, Continuance of Limestone Mining Construction, Section 404 Permit, Miami-Dade County, FL",http://yosemite.epa.gov/oeca/webeis.nsf/EIS01/C0E98954ED59DBC585257BEB001BAFCA,20070364,08/24/2007,Leah Oberlin,10/22/2007,561-472-3506,,, ,,10/22/2007,EC2,0.0,
28,08/24/2007,USFS,CA,Final EIS,"Turntable Bay Marina Master Development Project, Implementation, Shasta-Trinity National Forest, Special Use Permit, Shasta and Trinity Counties, CA",http://yosemite.epa.gov/oeca/webeis.nsf/EIS01/D74E5C521C5CE85485257BEB001BAFAE,20070358,08/24/2007,J. Sharon Heywood,09/24/2007,530-226-2500,,, ,,09/24/2007,,0.0,
29,08/17/2007,USFS,CA,Draft Supplement,"Brown Project, Revised  Proposal to Improve Forest Health by Reducing Overcrowded Forest Stand Conditions, Trinity River Management Unit, Shasta-Trinity National Forest, Weaverville Ranger District, Trinity County, CA",http://yosemite.epa.gov/oeca/webeis.nsf/EIS01/302745DE4FE0BC1385257BEB001BAF7B,20070346,08/17/2007,J. Sharon Heywood,10/01/2007,530-226-2500,,, ,,09/19/2007,EC2,3.0,http://yosemite.epa.gov/oeca/webeis.nsf/%28PDFView%29/20070346/%24file/20070346.PDF http://yosemite.epa.gov/oeca/webeis.nsf/http%3A//www.epa.gov/epahome/pdf.html http://yosemite.epa.gov/oeca/webeis.nsf/http%3A//www.epa.gov/compliance/contact/nepa.html%23commentform
30,08/17/2007,USFS,WY,Final EIS,"Thunder Basin Analysis Area Vegetation Management, To Implement Best Management Grazing Practices and Activities, Douglas Ranger District, Medicine Bow-Routt National Forests and Thunder Basin National Grassland, Campbell, Converse and Weston Counties, WY",http://yosemite.epa.gov/oeca/webeis.nsf/EIS01/C986EBCDB6F002CA85257BEB001BAF92,20070352,08/17/2007,Kyle Schmit,09/17/2007,307-358-4960,,, ,,08/14/2008,,3.0,http://yosemite.epa.gov/oeca/webeis.nsf/%28PDFView%29/20070352/%24file/20070352.PDF http://yosemite.epa.gov/oeca/webeis.nsf/http%3A//www.epa.gov/epahome/pdf.html http://yosemite.epa.gov/oeca/webeis.nsf/http%3A//www.epa.gov/compliance/contact/nepa.html%23commentform
31,08/17/2007,USFS,CO,Final EIS,"Deer Creek Shaft and E Seam Methane Drainage Wells Project, Construct, Operate and Reclaim up to 137 Methane Drainage Well, Federal Coal lease, Paonia Ranger District, Grand Mesa, Uncompahgre and Gunnison National Forests, Delta and Gunnison Counties, CO",http://yosemite.epa.gov/oeca/webeis.nsf/EIS01/EC3785BFEDC2316885257BEB001BAFA0,20070354,08/17/2007,Niccole Mortenson,09/17/2007,970-874-6616,,, ,,01/29/2008,,0.0,
32,08/10/2007,USACE,GU,Draft EIS,"Apra Harbor Master Plan for Deep-Draft Wharf and Fill Improvements, Implementation, Piti, Guam",http://yosemite.epa.gov/oeca/webeis.nsf/EIS01/C31A2EFB9D2A312585257BEB001BAF4C,20070339,08/10/2007,James Hatashima,09/24/2007,808-438-2264,,, ,,10/15/2007,EO2,3.0,http://yosemite.epa.gov/oeca/webeis.nsf/%28PDFView%29/20070339/%24file/20070339.PDF http://yosemite.epa.gov/oeca/webeis.nsf/http%3A//www.epa.gov/epahome/pdf.html http://yosemite.epa.gov/oeca/webeis.nsf/http%3A//www.epa.gov/compliance/contact/nepa.html%23commentform
33,08/10/2007,USFS,CO,Final EIS,"Lizard Head Road Easement, Application from Private Landowners Requesting a Permit to Cross Public Lands to Access Non-Federal Lands, San Juan National Forest, Dolores Ranger District, Dolores County, CO        ",http://yosemite.epa.gov/oeca/webeis.nsf/EIS01/3CE712D44DCA99BD85257BEB001BAF3E,20070334,08/10/2007,Jim Powers,09/10/2007,970-385-1211,,, ,,09/10/2007,,0.0,
34,08/10/2007,USFS,OR,Final EIS,"Spears Vegetation Management Project, Proposal to Use Commercial Timber Harvest, Precommercial Thinning, Prescribed Fire, Grapple Piling and Hand Piling in the Mark  Creek Watershed and Veaqie Creek Subwatershed, Lookout Mountain Ranger District, Ochoco National Forest, Crook and Wheeler Counties, OR",http://yosemite.epa.gov/oeca/webeis.nsf/EIS01/C46034995054D44A85257BEB001BAF37,20070333,08/10/2007,Katherine Farrell,09/10/2007,541-416-6500,,, ,,09/06/2007,,3.0,http://yosemite.epa.gov/oeca/webeis.nsf/%28PDFView%29/20070333/%24file/20070333.PDF http://yosemite.epa.gov/oeca/webeis.nsf/http%3A//www.epa.gov/epahome/pdf.html http://yosemite.epa.gov/oeca/webeis.nsf/http%3A//www.epa.gov/compliance/contact/nepa.html%23commentform
35,08/03/2007,USN,FL,Final EIS,"Boca Chica Field, Restoration of Clear Zones and Stormwater Drainage Systems, Implementation,  Naval Air Station (NAS) Key West, Monroe County, FL",http://yosemite.epa.gov/oeca/webeis.nsf/EIS01/7DF17B6D3674286485257BEB001BAEF9,20070319,08/03/2007,Jim Reed,09/04/2007,843-820-45543,,, ,,09/04/2007,,0.0,
36,08/03/2007,WAPA,AZ,Final EIS,"San Luis Rio Colorado Project, Proposes to Construct a 26-Mile Long 230 Kilovolt Double-Circuit Transmission Line from the International Border with Mexico to Western and Arizona Public Service Substations near Yuma County, AZ",http://yosemite.epa.gov/oeca/webeis.nsf/EIS01/6B6FD70655673D2485257BEB001BAEFA,20070320,08/03/2007,Mark Wieringa,09/04/2007,720-962-7448,,, ,,09/06/2007,,0.0,
37,07/27/2007,USACE,CO,Draft Supplement,"Rueter-Hess Reservoir Expansion Project , Enlarges Reservoir to Provide Storage of Denver Basin Groundwater for Meeting Peak Municipal Water Supply, US Army COE Section 404 Permit, Town of Parker, Douglas County, CO",http://yosemite.epa.gov/oeca/webeis.nsf/EIS01/F6908FE0346759E485257BEB001BAEDA,20070311,07/27/2007,Rodney  J. Schwartz,09/10/2007,402-221-4939,,, ,,09/10/2007,EC2,3.0,http://yosemite.epa.gov/oeca/webeis.nsf/%28PDFView%29/20070311/%24file/20070311.PDF http://yosemite.epa.gov/oeca/webeis.nsf/http%3A//www.epa.gov/epahome/pdf.html http://yosemite.epa.gov/oeca/webeis.nsf/http%3A//www.epa.gov/compliance/contact/nepa.html%23commentform
38,07/27/2007,USFS,MT,Draft EIS,"Marten Creek Project, Proposed Timber Harvest, Prescribed Fire Burning, Watershed Restoration, and Associated Activities, Cabinet Ranger District, Kootenai National Forest, Sanders County, MT ",http://yosemite.epa.gov/oeca/webeis.nsf/EIS01/020EAC4BCEDF96BC85257BEB001BAED0,20070308,07/27/2007,Dave Clay,09/10/2007,406-827-0717,,, ,,08/30/2007,EC2,0.0,
39,07/27/2007,USFS,WA,Draft EIS,"Old Curlew Ranger Station Facilities Disposal Project, Proposal to Sell 3-Acre Parcel Including Buildings, Republic Ranger District, Colville National Forest, South Side of Curlew, Ferry County, WA",http://yosemite.epa.gov/oeca/webeis.nsf/EIS01/925006B2E606A7A485257BEB001BAED7,20070310,07/27/2007,James L. Parker,09/10/2007, 509-775-7462,,, ,,08/17/2007,LO,3.0,http://yosemite.epa.gov/oeca/webeis.nsf/%28PDFView%29/20070310/%24file/20070310.PDF http://yosemite.epa.gov/oeca/webeis.nsf/http%3A//www.epa.gov/epahome/pdf.html http://yosemite.epa.gov/oeca/webeis.nsf/http%3A//www.epa.gov/compliance/contact/nepa.html%23commentform
40,07/27/2007,USN,HI,Draft EIS,"Hawaii Range Complex (HRC) Project, To Support and Maintain Navy Pacific Fleet Training, and Research, Development, Test, and Evaluation (RDT&E;) Operations, Kauai, Honolulu, Maui and Hawaii Counties, HI",http://yosemite.epa.gov/oeca/webeis.nsf/EIS01/7F8BC6A430DB789885257BEB001BAEDD,20070312,07/27/2007,Tom Clements,09/17/2007,866-767-3347,08/03/2007,"Revision of FR Notice Published 07/27/2007:  Extending Comment Period from 
9/10/20007 to 09/17/2007", ,,09/17/2007,EC2,3.0,http://yosemite.epa.gov/oeca/webeis.nsf/%28PDFView%29/20070312/%24file/20070312.PDF http://yosemite.epa.gov/oeca/webeis.nsf/http%3A//www.epa.gov/epahome/pdf.html http://yosemite.epa.gov/oeca/webeis.nsf/http%3A//www.epa.gov/compliance/contact/nepa.html%23commentform
41,07/20/2007,USFS,UT,Draft EIS,"Big Creek Vegetation Treatment Project, To Treat 4,800 Acres of Aspen Conifer and Sagebrush Communities, Ogden Ranger District, Wasatch-Cache National Forest, Rich County, UT",http://yosemite.epa.gov/oeca/webeis.nsf/EIS01/35FB6F030D5636FD85257BEB001BAE82,20070297,07/20/2007,Chip Sibbernsen,09/04/2007,801-625-5112,,, ,,10/10/2007,LO,3.0,http://yosemite.epa.gov/oeca/webeis.nsf/%28PDFView%29/20070297/%24file/20070297.PDF http://yosemite.epa.gov/oeca/webeis.nsf/http%3A//www.epa.gov/epahome/pdf.html http://yosemite.epa.gov/oeca/webeis.nsf/http%3A//www.epa.gov/compliance/contact/nepa.html%23commentform
